text,sentiment
"This was so bad, I want God to give me an extra two hours of life having had to sit through it.<br /><br />First off, the acting was uniformly bad. There was barely a plot, unless ""Shaggy dog story with a guy in a rain poncho and skeleton mask instead of a dog"" counts.<br /><br />The editing was was all over the place, and the slow-mo shots of the ""gore"" (red corn syrup flying through the air--doubtless flung using a spoon) got irritating after the tenth time, and infuriating after the hundredth time.<br /><br />I like Michael Rooker. He's done some good work. This was not good. This was less than good. And by that, I mean that it sucked. Hard.<br /><br />For god's sake, don't watch this movie.",neg
"Cocky medical students play chicken with process that simulates death, in attempt to get a (hopefully temporary) view of the afterlife. Certain plot twists and themes are a little off the mark, and the acting occasionally goes over the top. But the underlying message - about God's and others' forgiveness for our real or perceived sins - is positive and unique in cinema, and the cast is very very good. The last sequence between Julia Roberts and her father is so effectively done that, years after having seen it, I still get chills thinking about it. Highly recommended.",pos
"This movie is excellent in how it portrays the reality of sexual abuse. The daughters perfectly express their conflicting emotions of affection and betrayal. The on-location scenery is absorbingly authentic, and the soundtrack is unobtrusive yet moving. This film is a graduate-level course in a reality that's too little recognized in American society. Personally, I'm freaked out by the names of the characters -- Lange's character is Ginny Cook Smith -- my name is Connie Cook Smith, and my mom is Genny Cook. The youngest daughter is Caroline Cook, which is my sister's name, and the father is Larry Cook, my cousin's name.But sex abuse was not in our immediate family.",pos
"Foolish hikers go camping in the Utah mountains only to run into a murderous, disfigured gypsy. <br /><br />The Prey is a pretty run of the mill slasher film, that mostly suffers from a lack of imagination. The victim characters are all-too-familiar idiot teens which means one doesn't really care about them, we just wonder when they will die! Not to mention it has one too many cheesy moments and is padded with endless, unnecessary nature footage. However it does have a few moments of interest to slasher fans, the occasional touch of spooky atmosphere, and a decent music score by Don Peake. Still, it's business as usual for dead-camper movies.<br /><br />There are much better films in this vein, but over all The Prey may be watchable enough for die-hard slasher fans. Although one might be more rewarded to watch Just Before Dawn (1981), Wrong Turn (2003), or even The Final Terror (1983) again.<br /><br />* 1/2 out of ****",neg
"So after years and years I finally track this film down! I was dying to see how it lived up to my memories. I distinctly remembered the shots of the ghost boy running down the mine, then waiting behind two planks of wood crossed in the mineshaft, just staring out with a pale white face. This single shot was probably the most chilling shot of my childhood, I remember chills running down my spine. Watching it now, its obviously nowhere near as scary, but quite subconsciously strange to see the same images again. If anyone wants a copy, private message me.<br /><br />The story itself is fairly standard BCFF stuff. Its strange though that the message is pretty unclear this time around - there is no real moral as such (except that 'ghosts are here to help us?' or 'don't be prejudiced against ghosts!') There wasn't even a greed/capitalist angle in terms of wanting to profit from the mine. However, a massive act of irresponsibility from the captain, encouraging the two kids to actually follow the vague implications of a ghost not only into a mine, but into a new mine hole, which is totally dangerous. The captain then encourages the children to climb down a huge ladder, deep into the mines, simply because he thinks the ghost wants them too. Its also a bit odd that the ghost chooses the boy to help the trapped adults, and not just help the trapped adults direct. Oh well.",pos
"Mark Walhberg in a great role, idolises a rock star to the extent of knowing all his songs, imitating him to perfection, and dressing like him. When the opportunity comes for him to take over his ""idol's"" role in the band, he jumps at the opportunity. However the role of a rock star may not be what it is cracked up to be... and relationships can change .... This movie certainly struck me as having the theme of what you attain for may not be what you think it is once you get it. Overall a really good movie with great performances from all the cast as well as the two leads, Mark Walhberg and Jennifer Aniston. It did make me feel sad, especially when Emily, (Jennifer Aniston), met up with Chris in Seattle and saw the depths to what he had sunk. If anybody ever dreamed of being a rock star or a groupie they should watch this movie to see that the lifestyle, although glamourous for a while, is very lonely and ultimately not what you may want.",pos
"Terrible direction from an awful script. Even the DVD looked muddy and out of focus. Laughable accents all over the map. Unlike most of the other commenters I had no idea this was about boys in love in the mud, but that fact became immediately obvious from the opening scene and all the lovingly drawn-out shots of nude or scantily-clad young men, usually wet or glistening with sweat, looking longingly at each other.",neg
"I am a chess player and I wanted to like this film. Trouble is, the content could have been fitted in a 30-minute documentary.<br /><br />There were lots of shots of corridors being walked down and Kasparov gazing out in the hall where he won the World Championship. There were other shots of Kasparov being walked round the site of the 1997 match and being told where he sat and where Deep Blue was located. This just looked like filler.<br /><br />Also, I didn't find it interesting to see in detail where Deep Blue was now and seeing an IBM techie trying, unsuccessfully to 'open' it. What would we have seen of interest inside anyway - a little grandmaster?<br /><br />Also, the recent match against Karpov. I no longer follow professional chess enough to know when and where this was. It would have been nice to have been told: was this a one-off 'just for the money'? Was it part of the world championship cycle? What was the final score? The nub of the film was the play in game two. Could/would IBM let Kasparov see 'inside' the machine? That's where the focus should have been.",neg
"I'm sorry, but this really does feel like a modern day Apollo 13 knock-off. Totally implausible (at least Armageddon FELT like a comic book! This felt like a bad High School film project), acting was about as cliché as one can get, and....landing a space shuttle on an LA freeway? Come on. Seriously. Jerry, what were you thinking? And all the clichés: The pregnant astronaut's wife, the nosy reporter who gets in everyone's way, the stalwart manager with ""Go Fever"". And it's one thing to twist the laws of physics or politics or whatever to make an entertaining story, but at least make it GOOD! Fact and science were totally butchered for this. The space shuttle doesn't have fuel tanks in it's wings, and even if it did, it couldn't steer by shifting fuel between them (and neither could a DC-10).<br /><br />If you like bad acting, bad storytelling, low realism, and cheesy clichés, this one can't be beat!",neg
"I just saw this movie for the first time last night. Wow! What a movie! This is the kind of movie you want everyone in the world to see because its just so cool and so interesting.<br /><br />I do not want to give a single word about the plot because I think it would be better for people to go in cold. DO NOT READ THE PLOT SUMMARY before you see the movie! All I'm going to say is that Eastwood, Malkovich, Peterson, and the screenplay by Jeff Maguire are top notch. I wish all thrillers were more like this one.",pos
"Saw the film at it's Lawrence, Kansas premiere. This wavering story about a group of disgruntled highschoolers killing off the competition for prom queen was just awful. It fails for many reasons - bad acting, bad script, no clear point. But mainly it just felt like the filmmakers said to themselves - ""Hey I have some money, so let's make a movie!"" - without really thinking it out. Sorrowfully most indie films that don't make it suffer from just that mentality. They just don't seem to realize that it takes more than money to make a good movie... or in this case, even a watchable one. With this film I do not feel ashamed to say, that if I didn't know some of the crew, I would have walked out. Simple as that.",neg
"SHRIEKER is a Full Moon production. I knew what to expect (very little quality) but I didn't expect this to be as painful as SHRIEKER was to watch.<br /><br />It's just awful. Bad acting, confusing script and direction. Annoying characters I wanted to kill. The whole thing was probably made in one week. I've seen episodes of CHARMED that were more complex and convincing than this cheapie.<br /><br />It has the look and feel of an orphaned episode of a badly conceived TV series no one has ever seen. It was a chore to watch and I could feel my mind getting dimmer and dimmer by the minute. Watching a movie shouldn't be this much hard work.",neg
"The first few minutes showing the cold and crusty the Willis character were pretty enjoyable, especially with Jean Smart, but it really tanked after that. This is just hackneyed big man and little irritating kid stuff from way back with no innovation at all. I know that the casting probably picked this kid to show that Willis was just as irritating in his younger self, but I found this kid ESPECIALLY irritating and whinney.",neg
"Early Jackie Chan film where there is no sign of the Chan persona we know. This is Chan in a full on traditional revenge tale of the sort that was cloned and re-cloned by countless producers and studios all through Hong Kong Taiwan and Mainland China. Its a very serious story that shows none of the humor and warmth that would catapult Jackie Chan to super stardom. Its also clear from watching this that had he not reinvented himself odds are we would never have known him because his career would have been painfully short. As a film on its own merits this is a good looking but pretty unremarkable movie. I was watching it, in the midst of an all day marathon of martial arts films and it would have blended together with every other film that I watched that day had I not noticed Jackie in the film. Honestly I don't think the film is really worth bothering with (there are too many other better variations) except if you're interested in seeing where Jackie Chan started.",neg
"I thought that the interplay between Crystal and DeVito was great. The movie is rather off the wall, but there are some unforgettable lines. Ramsey as ""Momma"" is vulgar and over the top, but also very funny and effective. The character HAS to be pretty awful for why else would someone entertain thoughts of killing his mother? Now Crystal's wife -- she is a ""slut"" whom everyone would like to receive her comeuppance, thus her role, though minor, is also effective, because it has to justify Crystal's ridiculous case of ""writer's block."" While there are certainly dark moments, the movie is not depressing and, despite the murderous urges that the protagonists feel, they have redeeming qualities too.<br /><br />Overall, this is one of the funniest movies I can remember, one that I don't mind watching over several times.",pos
"The Ali G character works brilliantly within the confines of a comedy show, but as a movie, it doesn't work in the same way.<br /><br />Don't get me wrong - this is a very funny movie, full of biting, witty dialogue, that caricatures the modern British chav wonderfully well, whilst providing the viewer with a hilarious, if unrealistic story.<br /><br />One problem with this film is that the script and content is either fantastically brilliant, or it's embarrassing to watch. When I say embarrassing, I don't mean funny embarrassing a la Office or Extras, but rather, you'll wish they hadn't included it in the final cut. One example of this is the inclusion of a music video after the film has ended, to the tune of, ""This is how we do it."" Whenever I watch the film, I stop the DVD when it says the end, and leave it at that.<br /><br />Overall, Ali G Indahouse is a good film, worth watching a couple of times. The script is enjoyable to an extent, and there are no issues as far as acting goes. However, refinement is the key word here.<br /><br />Ali G is a better television programme. Borat is a better film.",pos
"I must admit that I didn't get around to seeing this movie in the theater. As it was released at the beginning of a summer blockbuster season, this cute little film couldn't help but get a bit lost in the shadow of multi-million dollar special effects movies, could it?<br /><br />""Return to Me"" has a lovely and simple story at its core, and is extremely well-directed and written by Bonnie Hunt (who has been in a number of major pictures as an actress herself....along with this one!) The charming story is beautifully woven with clever comedy and brought to life with superb performances by veteran as well as younger actors.<br /><br />To those who say that David Duchovny hasn't really had a good shot at breaking out of his ""Fox Mulder"" mold, I agree. I've seen his other film work, and is, by far, the best thing he could have done for himself. Minnie Driver is simply beautiful, charming, funny, and lively in her role as Grace.<br /><br />Outside of these two leads, however, you are surrounded by Grace's close-knit family and friends. Jim Belushi is an absolute stitch, Bonnie Hunt is a stable and real-life force. I cannot, however, go without mentioning the talents of Robert Loggia, and the dearly departed Carroll O'Connor. Ironically, I watched this film again on DVD only the day before he passed away. This was his last film, and he gave a performance that an actor of his calibre could certainly be proud to leave as the finale to a great career.<br /><br />Overall, ""Return To Me"" turned what would have still been just a fun love story, and grew it into a film that has become one of my favorites! Take the time rent this one.....it's well worth the effort!",pos
"The Kid - At 39 years old Russel Duritz has a life that most men would envy - he has a great job, is respected (and feared), has a beautiful house and makes buckets of money. But everything comes at a cost, in this case no social life, no conscience and a fear of spending the rest of his life alone. He just needs someone to show him the way.<br /><br />As I watched the movie, I kept wondering why Disney didn't pass this film on to Miramax - not because it's particularly daring or edgy, but because it is clearly a movie for adults. This is exacerbated by the marketing campaign which is clearly targeting children - it is lumped in with trailers for ""Rugrats the Movie"", and ""Pokemon 2000"" (aren't they passe yet?). But I quibble.<br /><br />I was impressed by the sensitive treatment of the subject matter - rather than the typical male midlife crisis that involves some pathetic sap buying a Porsche convertible and acting like a moron, Willis' character undertakes some serious introspection and takes stock of his life. His guide on this journey of self-discovery is himself at age 8 (they never explain how Rusty arrives and frankly, I didn't care). Young Rusty's innocence and unbridled optimism give him a distinct advantage in divining the truth - he sums up Russell's job as an image consultant thusly, ""You teach people how to lie and pretend to be something they aren't"". In order for a good script to succeed, however, you need actors to bring it to life. Not a problem here.<br /><br />Although Willis has thrice ignored W.C. Fields' warnings about starring with children or animals he has lucked out once again, meshing as well comedically with Breslin as he did dramatically with Osment. Willis manages to balance Russell's cutthroat powerbroker traits with vulnerability and confusion, without becoming ridiculous. Breslin meanwhile gives a dead on portrayal of a kid from everyone's childhood - the one that always stuck out for some reason and got picked on. We also get two bonus performances: Lily Tomlin is great as Russell's levelheaded assistant and Jean Smart is perfect as an insightful charming anchorwoman (I loved her in ""Guinevere"").<br /><br />The Kid is charming, heavy, and real. And it will appeal to adults of all ages.",pos
"I saw One Life Stand when it premiered at the 2000 Edinburgh International Film Festival and was blown away by it. Made on a micro budget, this black and white digital movie is very much a European film and succeeds brilliantly in spite of the limitations of DV. The film works because it's in the indie tradition - dealing with complex issues, yet moving and relieved by touches of understated humour. One Life Stand avoids falling into the trap of other UK realist films, with ordinary working people portrayed as either hopeless victims or comedic stereotypes. The performances are strong, particularly Maureen Carr as the mother, Trise. I understand the film has recently been released on DVD and I would definitely recommend it. The rating on this site is misleading, which is why I gave it a high score because the filmmaker, May Miles Thomas obviously put her heart and soul into it and deserves better than 2.8 for her amazing achievement.",pos
"I like the phrase ""British post war suburban paranoia"" that one of the reviewers used. It describes so well the kind of films John Mills excelled in (""The October Man"" (1947), ""The Long Memory"" (1952)) in between ""big"" pictures (""Scott of the Antartic"" (1948) and ""War and Peace"" (1956)).<br /><br />This distinctly ""Eric Ambler"" style plot had John Mills playing Dr. Howard Latimer, who promises his friend, Charles, (unseen) to meet a visiting German actress, Frieda Veldon (Lisa Daniely) at the airport. A creepy ""reporter"" Jeffrey Windsor (Lionel Jeffries) is in his consulting rooms at the time and offers to give him a lift but while he is tracking the actress down Windsor informs him she is already in the car waiting!!! (something fishy is going on!!!). Howard is dropped off for his date and thinks no more about it.<br /><br />The next night he finds her body when he arrives home from work, further more, he finds his friend Charles could not have rung him as he is still in New York and Windsor doesn't seem to exist. Earlier on a patient, Mrs Ambler(Rene Ray) who has been referred to him by Doctor George Kimber (Mervyn Johns) tells of her recurring dream about finding a dead body and a brass candlestick with a square base. It is a nightmare that is coming true for Howard but of course when Detective Inspector Dane (Roland Culver) interviews her, she denies all knowledge of the conversation - the candlestick is later found in the boot of Howard's Daimler.<br /><br />When Howard is lying low, Robert Brady (Wilfred Hyde-White) visits him. He calls himself a ""friend"" - he has a photo of Windsor that he wants to trade for a box of matches Frieda gave Howard at the airport. Howard returns to the flat, Charles rings and while Howard is on the phone an unknown assailant knocks him out and steals the matches!!! Who can he trust - who hasn't something to hide!!!<br /><br />This is a top thriller - not quite in the same class as ""The October Man"", but with John Mills doing what he does best - playing ordinary men caught up in impossible mysteries!!!<br /><br />Highly Recommended.",pos
"I have just finished watching this movie, and for me.... it takes ages to finish because it is so boring.....and the storyline is extremely bad.<br /><br />now... where should i start....O.... the movie is called ""sinking of japan"" ....yeah yeah... it does show that japan is actually sinking but the action part is very bad. Compare to the movie ""the day after tomorrow"" i would have rate it at least 8/10.<br /><br />The ""sinking of Japan"" does not show much about the disaster that actually happening right in front of our eyes. there isn't much excitement at all...boring... all i can say...<br /><br />one more point... i would recommend this movie to have a better title... maybe something like ""the romance of sinking of japan"" because this movie does have lots of talkings (waste of time... talk nonsense) & the love story is extremely boring & have been dragging too long...honestly.. i almost get frustrated.<br /><br />Overall... this movie does not show enough details of the disasters e.g. many people running like hell to avoid death..love story part was extremely not touching enough for me.<br /><br />but hey... there is one thing we should appreciate about this movie though.... & its has got good songs!",neg
"I watched this movie so that you don't have to! I have great respect for Kris Kristofferson, but what was he thinking? He did this for scale? <br /><br />At least the film's title practices truth in advertising, since people and objects routinely disappear throughout the film, adding to the confusion. Kristofferson mentions this in his commentary that even he wasn't sure if Genevieve Bujold's character really existed. This does not bode well for the viewer being able to follow the story!<br /><br />The ""making of"" feature was far more interesting than the movie itself. It explores the difficulty cobbling together funding for an indie, even as the film is being shot.<br /><br />To it's credit, this movie is visually pleasing and doesn't in any way look like a movie made with just slightly over 1M. Too bad the money wasn't spent on a better project.",neg
"By the standards of Hollywood this movie was filmed and edited as Hollywood movies are and therefore looked like a movie you would get out of a big-time production studio within Hollywood. Thats where anything remotely close to having Hollywood standards ends. This was THE WORST MOVIE I have EVER seen in MY LIFE! I am not joking. The story was so unbelievably stupid and unrealistic that I could not contain my laughter in the movie theater through the course of watching this film. I know what you're saying, ""its a horror film its not supposed to have a good story it's supposed to scare you."" Well let me tell you something, the movie is not even scary in the least bit. Its too full of stupid bits that cancels out the little suspense there may have been. The acting was awful as well, along with the scariness of the murderer, who you constantly see through flashbacks locked in a cage jacking off. Throughout the movie I kept getting a sense I was watching something that was thought up, written, produced, and directed by a high-schooler who watches too much pornography. Please, don't see this movie, spend your $8.50 on other things, like a snow cone, which would be much more worth your while.",neg
"The movie is an adaptation of a Japanese story by the respected author Yukio Mishima. It simply doesn't make the transition into a credible story about Brits and Americans.<br /><br />The story moves sluggishly, especially the part where Miles and Kristofferson are separated and the director fills in with the cliched shots of a ship's prow cutting through the waves, and the little route line filling in on the maps, while their letters are heard in overvoice. The film moves so languidly that I even fast-forwarded through the sex and masturbation scenes which, although long, are not really either passionate or erotic. The film did achieve a measure of notoriety when Kristofferson's then-wife divorced him for extra-curricular activities with Miss Miles during the filming. I guess they enjoyed the sex scenes, but it isn't quite the same for a viewer.<br /><br />There are no characters to hang on to. The sexually frustrated widow is unlikeable, the little kid is detestable. Kristofferson is amiable enough, but he just doesn't have the acting skills to bring much to the role, although perhaps we don't really want get too involved with him, considering his ultimate fate.<br /><br />As for the little kid, well, he kinda falls in with a bad crowd after his dad dies, and they help him plot some evil against the man who enters his mum's life. Now this is a really bad crowd. They don't just shoplift and smoke dope, nosireebib. They slip a mickey to a cat and vivisect it. This is shown in gory detail. But of course, this is only practice so they can do the same thing to Kristofferson!<br /><br />So the movie mostly moves slowly, with no characters to relate to, and when something does happen it is unrelentingly morbid.<br /><br />The ending is about as unsatisfying as any movie you'll ever see.<br /><br />This all might have made some sense if the Japanese locale and cultural context had been retained. As it stands, it is just abysmal.<br /><br />",neg
"I only comment on really very good films and on utter rubbish. My aim is to help people who want to see great films to spend their time - and money - wisely.<br /><br />I also want to stop people wasting their time on garbage, and want to publicize the fact that the director/producer of these garbage films can't get away with it for very long. We will find out who you are and will vote with out feet - and wallets.<br /><br />This film clearly falls into the garbage category.<br /><br />The director and writer is John Shiban. It's always a bad sign when the writer is also the director. Maybe he wants two pay cheques. He shouldn't get any. So remember the name - John SHIBAN. And if you see anything else by him, forget it.<br /><br />I won't say anything about the plot - others have already. I am a little worried by how much the director likes to zoom in to the poor girl's face when she is crying and screaming. These long duration shots are a little worrying and may say something about the state of mind of Mr. Shiban. Maybe he should get psychiatric help.<br /><br />Enough already. It's crap - don't waste your time on it.",neg
"I thought this was very ""different"" compared to most modern interpretations of Shakespeare and enjoyed it thoroughly. It would not be useful for those studying it at school etc. as it does not show the traditional Shakespeare character interpretations (i.e- Miranda is portrayed quite punky compared to your traditional Shakespeare lady) but for understanding of the play and for the basis of the story it is a very strong piece and fantastic to watch. It does not include also the correct format, as in the layout of acts and scenes as I am currently playing Miranda in a production and most of her lines had been cut and some scenes split and mixed around but it is very useful and I would definitely recommend it as a must-see even if just to say you've seen it! Shakespeare fans would love this!",pos
"This movie was horrible. If it had never been made the world would be a better place. Come on, a flying wagon? What were they thinking? This was a sub-par movie with a horrible hook, and I would like a written apology from the studio that produced this, along with some cookies to help repay me for the time I wasted on this crap fest that I can never get back. If you payed to see this movie, I am truly sorry because I watched it on TV on a Sunday afternoon when I had nothing better to do and it pretty much ruined my whole week. A flying freaking WAGON?!?! And that's supposed to make up for having a horrible mother who cares more about her own screwed up needs than her children? No wonder they don't have enough sense to tell someone he is beating them, their mother teaches them nothing but that what she wants comes before everything else. Absolutely horrible.",neg
"In the final days of the year 1999, most everyone in Taiwan has died. A strange plague has ravished the island. Supposedly spread by cockroaches, the disease sends its victims into a psychosis where they act like the insects. Eventually, they die. The Hole takes place in a crumbling apartment building (which is especially well created; kudos to the set designer!). Its two protagonists live right above and below each other. The woman is on the lower floor, and the pipes above her apartment are leaking fiercely, threatening to destroy her food supply, not to mention her sanity. She calls a plumber to go check it out, and he accidentally pokes a hole through the floor of the man's apartment. The two have never met before, and they come into contact through the hole.<br /><br />The script is quite brilliant. Few films are simultaneously this funny while remaining completely human, deeply exploring the human condition, especially feelings of loneliness and despair. Tsai's direction is simply beautiful. Like a lot of other Taiwanese directors, he uses a lot of long takes. But unlike, say, Hou Hsiao-Hsien, Tsai doesn't overuse them. In fact, I don't know if I've ever seen them used better. They're always effective and never tedious. <br /><br />It would be wrong to review this film without mentioning the musical numbers. Yes, The Hole is also a musical, and a great one, at that. In the film's best scenes - which is saying something, considering how good all the other scenes are - the man imagines that the woman is a singer, almost a cabaret singer. These numbers are fully choreographed, often with backup dancers and singers. In a stroke of genius, Tsai has these elaborately produced numbers take place in the crumbling building, the signs of apocalypse and decay unhidden. This provides both a sense of pathos and absurdity.<br /><br />The Hole is a film that begs to be seen. It ought to be a cult classic, if nothing else. Before I went to see this, I was told that it was a decent film, but probably Tsai Ming-liang's least good one. Well, if that is true, I just cannot wait to see another one! 10/10.",pos
"While i read all of the complaints about this movie before i saw it, i still had interest from the preview. I don't know if it was because i was expecting a bomb or what, but i really enjoyed the movie. The I was not very frightened at all until the second half of the movie, but even then it wasn't very bad at all. I think that most of the scenes and false alarms were realistic, if a little too coincidental, but it was necessary to move the story along. I think that the house and surrounding area is the perfect setting for this type of movie, it is beautiful and huge, but then the same qualities that are attractive become scary. I also think that the light arrangement worked extremely well because not only did they turn on upon entry, but there was no way to keep them on, so the house stayed dark outside of the small section Jill was in.<br /><br />Speaking of Jill, i thought her part was acted pretty well, at first it wasn't as believable, but after a few phone calls it was fine. In fact the scenes where she is frightened are acted perfectly. And, finally, someone got the fire poker right. I can't tell you how many times when i hear a noise at my house i grab the fire poker, and it was a nice touch for her to do the same, even though she idiotically forgets it when she needs it most.<br /><br />In regards to the plot holes, the movie is not perfect but almost every hole can be explained, and part of the mystery is how he got in..exactly, how long was he watching her? how did he get out to kill her friend? and when exactly did the gardener die? overall, i enjoyed it and i was surprised how quickly it went. It kept my attention, and i wanted to see how it ended, although the ending was very brief and left a bad taste in my mouth. My only complaint, other than the ending, was the lack of character development. They could have added ten minutes with her and her friends or something to make us feel bad for her situation more, to give us a taste of her personality and to give us foreshadowing to how she will handle the situation(for example, the scene where she debates whether to go back for the kids, it looks like some scene is missing at the beginning that talked about her only caring about herself or something).",pos
"This is a VERY good movie. I give it a 10.<br /><br />It's very different in that it's kind of a long stalking scene all the way through. The fact that the main character is mute is used throughout the story in a very believable way.<br /><br />She sees a murder (for a snuff-movie) and decides to run but is chased (this takes quite some time). I won't reveal the rest of the movie for it would spoil the experience, but rest assured: it's very believable, well played, very intense and has some nice surprises plus a great ending.<br /><br />Don't miss this movie.",pos
